"Organ","Effect (95% CI)","FDR"
"Adipose","1.23 (1.11-1.37)",8.38537359006895e-05
"Brain","1.36 (1.23-1.50)",1.48776947398077e-09
"Cardiovascular","1.55 (1.40-1.70)",9.24182007031076e-18
"Endocrine","1.64 (1.49-1.81)",3.16500933106548e-23
"Gastrointestinal","1.57 (1.43-1.72)",3.59472038490715e-21
"Immune","1.45 (1.30-1.61)",2.55526159420363e-11
"Kidney And Bladder","1.67 (1.52-1.83)",4.98496895414537e-25
"Liver","1.46 (1.31-1.61)",1.5921634521987e-12
"Lung","1.41 (1.28-1.55)",1.15779930691451e-11
"Muscle","1.21 (1.12-1.32)",2.53230401916563e-06
"Nerve","1.52 (1.38-1.67)",4.68243986249359e-17
"Ovary","1.13 (0.94-1.36)",0.206168873899129
"Pancreas","1.27 (1.14-1.41)",1.93604310330779e-05
"Prostate","1.08 (0.95-1.22)",0.250274087930821
"Skin","1.19 (1.06-1.33)",0.00308288210218424
