"Organ","Effect (95% CI)","FDR"
"Adipose","1.05 (0.99-1.12)",0.129952253246013
"Brain","1.09 (1.03-1.15)",0.0153693325965632
"Cardiovascular","1.08 (1.02-1.14)",0.0434091098548395
"Endocrine","1.08 (1.01-1.15)",0.0561062783233685
"Gastrointestinal","1.06 (1.00-1.11)",0.103984491935048
"Immune","1.07 (1.01-1.13)",0.0561062783233685
"Kidney And Bladder","1.13 (1.07-1.20)",0.00065198538186235
"Liver","1.06 (1.00-1.12)",0.117156224764189
"Lung","1.02 (0.97-1.08)",0.399364196655086
"Muscle","1.04 (0.99-1.09)",0.156150143654649
"Nerve","1.05 (0.99-1.11)",0.148907800414678
"Ovary","1.05 (0.94-1.17)",0.399364196655086
"Pancreas","1.04 (0.99-1.10)",0.156716887407845
"Prostate","1.09 (1.02-1.16)",0.0434091098548395
"Skin","1.04 (0.99-1.10)",0.156716887407845
