"Organ","Effect (95% CI)","FDR"
"Adipose","1.01 (0.88-1.17)",0.948946006393562
"Brain","1.06 (0.93-1.20)",0.532916288736102
"Cardiovascular","1.19 (1.02-1.38)",0.0902340386025151
"Endocrine","1.08 (0.98-1.20)",0.201113774098769
"Gastrointestinal","1.15 (1.01-1.31)",0.0902340386025151
"Immune","1.16 (1.03-1.32)",0.0902340386025151
"Kidney And Bladder","1.17 (1.03-1.34)",0.0902340386025151
"Liver","1.18 (1.03-1.36)",0.0902340386025151
"Lung","1.11 (0.99-1.23)",0.153938845250689
"Muscle","1.00 (0.88-1.13)",0.951286103428476
"Nerve","1.16 (0.99-1.36)",0.153938845250689
"Ovary","1.04 (0.99-1.09)",0.220484148451431
"Pancreas","1.06 (0.97-1.17)",0.311160018226278
"Prostate","0.93 (0.73-1.18)",0.675664269051631
"Skin","0.99 (0.87-1.13)",0.948946006393562
