"Organ","Effect (95% CI)","FDR"
"Adipose","1.04 (0.89-1.22)",0.854755594747267
"Brain","1.14 (0.99-1.31)",0.23577677123736
"Cardiovascular","1.22 (1.03-1.44)",0.11008262709289
"Endocrine","1.13 (0.97-1.32)",0.249774790262581
"Gastrointestinal","1.22 (1.06-1.40)",0.042247443102209
"Immune","1.02 (0.88-1.18)",0.936565167628484
"Kidney And Bladder","1.35 (1.15-1.58)",0.00392733658908713
"Liver","1.14 (0.99-1.31)",0.23577677123736
"Lung","1.14 (0.97-1.34)",0.249774790262581
"Muscle","1.05 (0.92-1.19)",0.804298734178883
"Nerve","1.13 (0.96-1.34)",0.250761122220104
"Ovary","1.00 (0.82-1.22)",0.981863133537965
"Pancreas","0.99 (0.86-1.13)",0.941269488808779
"Prostate","0.97 (0.78-1.21)",0.936565167628484
"Skin","1.04 (0.90-1.19)",0.854755594747267
