"Organ","Effect (95% CI)","FDR"
"Adipose","1.15 (0.78-1.71)",0.76065488205578
"Brain","1.00 (0.72-1.38)",0.986265662706476
"Cardiovascular","1.01 (0.70-1.48)",0.986265662706476
"Endocrine","1.27 (0.87-1.85)",0.620057993316136
"Gastrointestinal","0.85 (0.60-1.20)",0.76065488205578
"Immune","0.91 (0.64-1.30)",0.76065488205578
"Kidney And Bladder","1.25 (0.86-1.84)",0.620057993316136
"Liver","1.31 (0.94-1.83)",0.620057993316136
"Lung","1.25 (0.86-1.83)",0.620057993316136
"Muscle","1.11 (0.81-1.52)",0.76065488205578
"Nerve","1.05 (0.73-1.52)",0.911664676826809
"Ovary","0.79 (0.46-1.38)",0.76065488205578
"Pancreas","1.31 (0.91-1.87)",0.620057993316136
"Prostate","1.55 (0.85-2.83)",0.620057993316136
"Skin","1.10 (0.79-1.52)",0.76065488205578
