"Organ","Effect (95% CI)","FDR"
"Adipose","1.11 (0.92-1.35)",0.450736668750478
"Brain","1.03 (0.84-1.24)",0.802850915768117
"Cardiovascular","1.27 (1.03-1.56)",0.113413684912513
"Endocrine","1.27 (1.02-1.57)",0.113413684912513
"Gastrointestinal","1.10 (0.91-1.33)",0.474694437487438
"Immune","1.18 (0.96-1.45)",0.359132665528016
"Kidney And Bladder","1.38 (1.12-1.71)",0.0452459827920687
"Liver","1.30 (1.06-1.59)",0.0877197115204783
"Lung","1.03 (0.85-1.25)",0.802850915768117
"Muscle","1.07 (0.89-1.28)",0.673507801492817
"Nerve","1.15 (0.94-1.39)",0.368744935984379
"Ovary","1.12 (0.93-1.35)",0.450736668750478
"Pancreas","1.04 (0.88-1.23)",0.796893168714308
"Prostate","1.31 (0.89-1.91)",0.368744935984379
"Skin","1.04 (0.87-1.24)",0.796893168714308
