"Organ","Effect (95% CI)","FDR"
"Adipose","1.06 (0.86-1.30)",0.655418501075302
"Brain","1.38 (1.14-1.67)",0.012518484662964
"Cardiovascular","1.18 (0.95-1.46)",0.249223841052817
"Endocrine","1.25 (1.00-1.56)",0.155423327156434
"Gastrointestinal","1.06 (0.88-1.27)",0.655418501075302
"Immune","1.21 (0.99-1.49)",0.159808691620109
"Kidney And Bladder","1.27 (1.00-1.63)",0.155423327156434
"Liver","1.39 (1.12-1.72)",0.0179049604256581
"Lung","1.03 (0.84-1.26)",0.752323191485868
"Muscle","1.11 (0.93-1.34)",0.377329593809523
"Nerve","1.27 (1.04-1.55)",0.0865619289445737
"Ovary","1.14 (0.93-1.40)",0.32761858881595
"Pancreas","1.15 (0.98-1.36)",0.185947960597649
"Prostate","0.92 (0.68-1.25)",0.655418501075302
"Skin","1.06 (0.88-1.27)",0.655418501075302
