"Organ","Effect (95% CI)","FDR"
"Adipose","1.12 (1.01-1.24)",0.0778512464329508
"Brain","0.98 (0.89-1.07)",0.781765876894023
"Cardiovascular","1.07 (0.96-1.18)",0.318009074227937
"Endocrine","1.13 (1.03-1.25)",0.0778512464329508
"Gastrointestinal","1.08 (0.98-1.17)",0.175109437642335
"Immune","1.02 (0.93-1.11)",0.828795556078458
"Kidney And Bladder","1.11 (1.01-1.22)",0.0778512464329508
"Liver","1.17 (1.07-1.29)",0.0144250868540919
"Lung","1.10 (1.00-1.21)",0.107380956156295
"Muscle","1.08 (0.99-1.16)",0.133331020540667
"Nerve","1.04 (0.95-1.15)",0.497182265990609
"Ovary","1.10 (1.00-1.22)",0.121019246752222
"Pancreas","1.01 (0.93-1.09)",0.926414696292285
"Prostate","1.00 (0.88-1.14)",0.980940190897561
"Skin","1.11 (1.02-1.21)",0.0778512464329508
