"Organ","Effect (95% CI)","FDR"
"Adipose","1.23 (1.03-1.47)",0.163452747194521
"Brain","0.90 (0.77-1.05)",0.500899828088035
"Cardiovascular","1.00 (0.82-1.21)",0.961423879961324
"Endocrine","1.04 (0.85-1.28)",0.775865973512009
"Gastrointestinal","1.04 (0.89-1.22)",0.775865973512009
"Immune","1.06 (0.90-1.24)",0.775865973512009
"Kidney And Bladder","1.03 (0.86-1.23)",0.775865973512009
"Liver","1.24 (1.04-1.49)",0.163452747194521
"Lung","1.10 (0.93-1.29)",0.645403289957126
"Muscle","1.03 (0.89-1.18)",0.775865973512009
"Nerve","1.07 (0.88-1.30)",0.775865973512009
"Ovary","0.88 (0.70-1.12)",0.645403289957126
"Pancreas","0.88 (0.75-1.03)",0.500899828088035
"Prostate","1.06 (0.80-1.41)",0.775865973512009
"Skin","1.13 (0.95-1.33)",0.500899828088035
