"Organ","Effect (95% CI)","FDR"
"Adipose","1.30 (1.01-1.68)",0.0539400294440361
"Brain","1.36 (1.09-1.69)",0.0107603834151612
"Cardiovascular","1.83 (1.43-2.34)",2.20562192417372e-05
"Endocrine","1.48 (1.15-1.89)",0.00430257120257221
"Gastrointestinal","1.59 (1.28-1.98)",0.000115546164488275
"Immune","1.44 (1.17-1.77)",0.00115425067643525
"Kidney And Bladder","1.73 (1.35-2.23)",0.000115546164488275
"Liver","1.59 (1.28-1.99)",0.0001201932425719
"Lung","1.37 (1.11-1.70)",0.00673129472521867
"Muscle","1.27 (1.02-1.57)",0.040974638909801
"Nerve","1.53 (1.24-1.89)",0.000264241587406821
"Ovary","1.00 (0.81-1.23)",0.981609529566446
"Pancreas","1.19 (0.95-1.49)",0.130887339371326
"Prostate","1.70 (1.17-2.47)",0.00848918390699812
"Skin","1.18 (0.96-1.46)",0.130887339371326
