"Organ","Effect (95% CI)","FDR"
"Adipose","1.16 (0.71-1.88)",0.551302077820285
"Brain","1.40 (0.88-2.23)",0.190564397543158
"Cardiovascular","1.58 (1.01-2.46)",0.0817606923210001
"Endocrine","2.16 (1.38-3.38)",0.0105656334381869
"Gastrointestinal","1.82 (1.21-2.74)",0.0207267446497649
"Immune","1.48 (1.05-2.08)",0.0773149623449018
"Kidney And Bladder","2.01 (1.30-3.09)",0.0114255363832879
"Liver","1.67 (1.01-2.76)",0.0817606923210001
"Lung","1.42 (0.95-2.12)",0.121612915416067
"Muscle","1.50 (1.09-2.05)",0.0456964386182619
"Nerve","1.44 (0.99-2.08)",0.0817606923210001
"Ovary","1.99 (1.00-3.98)",0.0817606923210001
"Pancreas","1.56 (1.03-2.38)",0.0817606923210001
"Prostate","1.51 (0.74-3.11)",0.295344344275486
"Skin","1.29 (0.81-2.05)",0.295344344275486
