"Organ","Effect (95% CI)","FDR"
"Adipose","1.14 (1.01-1.29)",0.124884820235917
"Brain","1.06 (0.95-1.19)",0.362963463166399
"Cardiovascular","1.19 (1.05-1.35)",0.0429293263837426
"Endocrine","1.06 (0.94-1.20)",0.363299707256664
"Gastrointestinal","1.18 (1.04-1.34)",0.0429293263837426
"Immune","1.12 (1.00-1.24)",0.136997301137028
"Kidney And Bladder","1.08 (0.95-1.22)",0.312250822576873
"Liver","1.12 (1.00-1.26)",0.136997301137028
"Lung","1.04 (0.93-1.17)",0.505571776802477
"Muscle","1.09 (0.98-1.21)",0.206346195511537
"Nerve","1.10 (0.98-1.23)",0.206346195511537
"Ovary","1.00 (0.90-1.12)",0.94717635804099
"Pancreas","0.93 (0.85-1.03)",0.221915436420662
"Prostate","1.21 (1.05-1.39)",0.0429293263837426
"Skin","1.09 (0.97-1.21)",0.221915436420662
