"Organ","Effect (95% CI)","FDR"
"Adipose","1.19 (0.98-1.45)",0.430639890489303
"Brain","1.03 (0.85-1.25)",0.991957479046198
"Cardiovascular","1.09 (0.88-1.36)",0.991957479046198
"Endocrine","0.98 (0.83-1.17)",0.991957479046198
"Gastrointestinal","1.23 (0.99-1.52)",0.430639890489303
"Immune","1.06 (0.90-1.24)",0.991957479046198
"Kidney And Bladder","1.02 (0.84-1.24)",0.991957479046198
"Liver","1.02 (0.84-1.23)",0.991957479046198
"Lung","1.03 (0.85-1.23)",0.991957479046198
"Muscle","1.02 (0.86-1.22)",0.991957479046198
"Nerve","1.00 (0.83-1.21)",0.991957479046198
"Ovary","0.99 (0.81-1.22)",0.991957479046198
"Pancreas","0.75 (0.62-0.90)",0.0305354606115133
"Prostate","1.06 (0.84-1.34)",0.991957479046198
"Skin","1.00 (0.84-1.20)",0.991957479046198
