"Organ","Effect (95% CI)","FDR"
"Ovary","1.20 (1.06-1.37)",0.00591428571428571
"Prostate","1.23 (1.14-1.34)",6.615e-07
"Cardiovascular","1.33 (1.24-1.43)",3.345e-14
"Brain","1.32 (1.22-1.43)",2.73375e-11
"Kidney And Bladder","1.33 (1.24-1.43)",5.1525e-14
"Liver","1.28 (1.19-1.37)",1.02e-11
"Gastrointestinal","1.29 (1.19-1.39)",2.55e-10
"Immune","1.27 (1.19-1.36)",8.125e-11
"Endocrine","1.28 (1.19-1.37)",8.125e-11
"Nerve","1.25 (1.16-1.35)",2.93333333333333e-08
"Pancreas","1.25 (1.16-1.35)",3.9375e-09
"Lung","1.21 (1.11-1.31)",1.02692307692308e-05
"Adipose","1.20 (1.11-1.30)",2.675e-06
"Muscle","1.17 (1.09-1.24)",2.50909090909091e-06
"Skin","1.05 (0.98-1.13)",0.134
