"Organ","Effect (95% CI)","FDR"
"Prostate","1.05 (0.93-1.20)",0.571363636363636
"Ovary","1.03 (0.91-1.17)",0.709285714285714
"Immune","1.14 (1.04-1.25)",0.06435
"Gastrointestinal","1.07 (0.98-1.16)",0.5525
"Adipose","1.07 (0.96-1.19)",0.5525
"Liver","1.06 (0.97-1.15)",0.5525
"Kidney And Bladder","1.06 (0.98-1.15)",0.5525
"Endocrine","1.06 (0.97-1.15)",0.5525
"Muscle","0.96 (0.88-1.03)",0.571363636363636
"Nerve","0.96 (0.88-1.05)",0.571363636363636
"Brain","1.04 (0.95-1.13)",0.571363636363636
"Cardiovascular","1.04 (0.95-1.13)",0.571363636363636
"Pancreas","0.97 (0.89-1.06)",0.6625
"Skin","0.98 (0.90-1.07)",0.709285714285714
"Lung","1.00 (0.92-1.08)",0.961
