"Organ","Effect (95% CI)","FDR"
"Prostate","1.22 (1.04-1.44)",0.0253333333333333
"Ovary","1.20 (0.94-1.53)",0.154615384615385
"Nerve","1.41 (1.25-1.59)",4.425e-07
"Cardiovascular","1.31 (1.17-1.48)",5.475e-05
"Immune","1.31 (1.15-1.50)",0.000217875
"Kidney And Bladder","1.31 (1.15-1.50)",0.000217875
"Endocrine","1.26 (1.11-1.43)",0.001164
"Adipose","1.22 (1.06-1.40)",0.013575
"Pancreas","1.21 (1.03-1.41)",0.0273
"Brain","1.20 (1.05-1.38)",0.01576875
"Gastrointestinal","1.21 (1.05-1.38)",0.01576875
"Lung","1.16 (1.02-1.32)",0.0282272727272727
"Liver","1.13 (1.00-1.27)",0.058125
"Muscle","1.06 (0.95-1.19)",0.304285714285714
"Skin","1.06 (0.93-1.22)",0.381
