"Organ","Effect (95% CI)","FDR"
"Prostate","1.26 (0.95-1.68)",0.1665
"Ovary","1.25 (1.01-1.55)",0.0621666666666667
"Lung","1.43 (1.25-1.64)",4.215e-06
"Immune","1.37 (1.18-1.58)",0.0001065
"Liver","1.34 (1.17-1.54)",0.0001065
"Brain","1.35 (1.17-1.55)",0.000108
"Skin","1.32 (1.16-1.50)",0.0001155
"Cardiovascular","1.31 (1.13-1.52)",0.000651428571428571
"Gastrointestinal","1.29 (1.13-1.48)",0.00044
"Adipose","1.31 (1.12-1.54)",0.001395
"Nerve","1.12 (0.94-1.33)",0.261818181818182
"Pancreas","1.11 (0.93-1.32)",0.31625
"Muscle","1.08 (0.94-1.24)",0.325384615384615
"Kidney And Bladder","1.09 (0.93-1.28)",0.334285714285714
"Endocrine","1.07 (0.91-1.27)",0.423
