"Organ","Effect (95% CI)","FDR"
"Prostate","0.99 (0.89-1.11)",0.91
"Ovary","1.09 (0.98-1.21)",0.46875
"Muscle","0.89 (0.83-0.96)",0.0444
"Immune","1.07 (1.00-1.16)",0.34575
"Cardiovascular","0.94 (0.87-1.02)",0.46875
"Skin","0.95 (0.88-1.02)",0.543
"Brain","0.95 (0.89-1.03)",0.55
"Kidney And Bladder","1.04 (0.97-1.13)",0.591428571428571
"Nerve","0.96 (0.89-1.04)",0.605625
"Gastrointestinal","0.96 (0.89-1.04)",0.613333333333333
"Pancreas","0.97 (0.91-1.05)",0.753
"Liver","0.98 (0.91-1.05)",0.758181818181818
"Lung","1.02 (0.94-1.10)",0.81875
"Endocrine","1.01 (0.94-1.09)",0.853846153846154
"Adipose","1.01 (0.93-1.09)",0.91
