"Organ","Effect (95% CI)","FDR"
"Adipose","1.20 (1.12-1.29)",1.7867936115828e-06
"Brain","1.28 (1.19-1.38)",4.0267985049383e-10
"Cardiovascular","1.32 (1.23-1.41)",3.57141125560552e-14
"Endocrine","1.27 (1.19-1.37)",8.23165919944572e-11
"Gastrointestinal","1.27 (1.18-1.37)",7.02619457973061e-10
"Immune","1.26 (1.18-1.35)",1.06144809423061e-10
"Kidney And Bladder","1.32 (1.23-1.42)",1.24874017088942e-13
"Liver","1.26 (1.18-1.35)",6.46796833028808e-11
"Lung","1.21 (1.12-1.31)",3.894917070341e-06
"Muscle","1.15 (1.08-1.23)",1.17416053254978e-05
"Nerve","1.25 (1.16-1.35)",1.14269990635934e-08
"Ovary","1.20 (1.06-1.37)",0.0059137590861101
"Pancreas","1.25 (1.16-1.34)",6.84156766188781e-09
"Prostate","1.23 (1.14-1.34)",6.60895178577667e-07
"Skin","1.04 (0.98-1.12)",0.204781116667895
