"Organ","Effect (95% CI)","FDR"
"Adipose","1.11 (0.97-1.26)",0.131858674830487
"Brain","1.19 (1.04-1.37)",0.0210122386914976
"Cardiovascular","1.30 (1.13-1.49)",0.00122281931978456
"Endocrine","1.21 (1.07-1.37)",0.00538104515479397
"Gastrointestinal","1.28 (1.10-1.50)",0.00342404643090526
"Immune","1.31 (1.15-1.49)",0.0007648054707807
"Kidney And Bladder","1.28 (1.12-1.45)",0.00119919425683026
"Liver","1.20 (1.05-1.37)",0.0166032279236327
"Lung","1.18 (1.00-1.39)",0.0555603304671742
"Muscle","1.12 (1.02-1.24)",0.0245643304225518
"Nerve","1.23 (1.05-1.45)",0.0166032279236327
"Ovary","1.30 (1.04-1.63)",0.0245643304225518
"Pancreas","1.26 (1.12-1.42)",0.0007648054707807
"Prostate","1.24 (1.09-1.42)",0.00342404643090526
"Skin","1.03 (0.92-1.15)",0.59043836568686
