"Organ","Effect (95% CI)","FDR"
"Adipose","1.18 (0.98-1.42)",0.254195289103895
"Brain","1.06 (0.84-1.35)",0.704156150796039
"Cardiovascular","1.16 (0.96-1.40)",0.319038414987193
"Endocrine","1.21 (1.01-1.45)",0.172120226441597
"Gastrointestinal","0.88 (0.70-1.11)",0.556600048287328
"Immune","1.02 (0.83-1.25)",0.88337599413526
"Kidney And Bladder","1.25 (1.04-1.51)",0.172120226441597
"Liver","0.93 (0.73-1.20)",0.704156150796039
"Lung","1.09 (0.90-1.33)",0.63309718404126
"Muscle","1.05 (0.89-1.24)",0.704156150796039
"Nerve","1.31 (1.04-1.65)",0.172120226441597
"Ovary","1.22 (0.86-1.73)",0.556600048287328
"Pancreas","1.24 (1.00-1.53)",0.172120226441597
"Prostate","0.97 (0.72-1.31)",0.88337599413526
"Skin","0.92 (0.74-1.14)",0.670140613731179
