"Organ","Effect (95% CI)","FDR"
"Adipose","0.95 (0.84-1.08)",0.706785635802957
"Brain","1.08 (0.92-1.27)",0.695429641883877
"Cardiovascular","1.06 (0.91-1.23)",0.706785635802957
"Endocrine","1.09 (0.90-1.32)",0.706785635802957
"Gastrointestinal","1.18 (0.99-1.41)",0.284954422871825
"Immune","1.14 (0.98-1.34)",0.284954422871825
"Kidney And Bladder","1.18 (0.99-1.40)",0.284954422871825
"Liver","1.01 (0.86-1.18)",0.930768072160763
"Lung","1.12 (0.95-1.32)",0.484940829413998
"Muscle","1.12 (0.98-1.28)",0.284954422871825
"Nerve","0.96 (0.81-1.13)",0.714202036801571
"Ovary","0.95 (0.80-1.13)",0.714202036801571
"Pancreas","1.02 (0.84-1.23)",0.913023843515165
"Prostate","0.78 (0.62-0.99)",0.284954422871825
"Skin","0.96 (0.82-1.12)",0.714202036801571
