"Organ","Effect (95% CI)","FDR"
"Adipose","1.33 (1.13-1.56)",0.000918178869985593
"Brain","1.38 (1.20-1.59)",3.55038842035699e-05
"Cardiovascular","1.34 (1.15-1.56)",0.000312785899839189
"Endocrine","1.08 (0.91-1.29)",0.360886122919041
"Gastrointestinal","1.32 (1.16-1.51)",0.000110382018601191
"Immune","1.38 (1.19-1.59)",4.76875746930399e-05
"Kidney And Bladder","1.10 (0.93-1.30)",0.265767576195098
"Liver","1.37 (1.19-1.57)",3.55038842035699e-05
"Lung","1.45 (1.26-1.67)",2.18225991876053e-06
"Muscle","1.08 (0.95-1.24)",0.265767576195098
"Nerve","1.12 (0.95-1.34)",0.249605660674016
"Ovary","1.26 (1.01-1.55)",0.0621335855533734
"Pancreas","1.12 (0.93-1.34)",0.265767576195098
"Prostate","1.26 (0.95-1.68)",0.167077314199055
"Skin","1.35 (1.18-1.54)",3.90216886436522e-05
