"Organ","Effect (95% CI)","FDR"
"Adipose","1.58 (1.24-2.02)",0.00160993592529066
"Brain","1.53 (1.13-2.08)",0.01290148242283
"Cardiovascular","1.60 (1.18-2.16)",0.0075503938625802
"Endocrine","1.34 (0.93-1.93)",0.171730989249976
"Gastrointestinal","1.58 (1.16-2.15)",0.0103287371688558
"Immune","1.57 (1.20-2.04)",0.00456170799325711
"Kidney And Bladder","1.24 (0.87-1.75)",0.243954577175722
"Liver","1.37 (1.03-1.83)",0.0565249777065651
"Lung","1.61 (1.21-2.15)",0.00465096212941525
"Muscle","0.80 (0.60-1.08)",0.195798510371029
"Nerve","1.25 (0.90-1.75)",0.216654455926866
"Ovary","1.26 (0.91-1.74)",0.196755626966686
"Pancreas","0.94 (0.69-1.28)",0.696906184025501
"Prostate","1.48 (1.02-2.15)",0.0688617729822916
"Skin","1.71 (1.30-2.25)",0.00160993592529066
