"Organ","Effect (95% CI)","FDR"
"Adipose","1.50 (1.18-1.89)",0.00142560383294933
"Brain","1.64 (1.27-2.13)",0.00049717553788181
"Cardiovascular","1.62 (1.30-2.03)",0.000116361887831304
"Endocrine","1.53 (1.24-1.88)",0.000258953729304869
"Gastrointestinal","1.69 (1.36-2.10)",3.06955053016191e-05
"Immune","1.51 (1.21-1.89)",0.000760131733692272
"Kidney And Bladder","1.46 (1.19-1.80)",0.000760131733692272
"Liver","1.42 (1.05-1.92)",0.0295432587309173
"Lung","1.23 (0.90-1.67)",0.225303037606582
"Muscle","1.33 (1.12-1.59)",0.00195548330007739
"Nerve","1.73 (1.34-2.24)",0.000116361887831304
"Ovary","1.09 (0.61-1.96)",0.7672723160895
"Pancreas","1.18 (0.86-1.62)",0.314248184578845
"Prostate","1.27 (0.92-1.74)",0.185098283842235
"Skin","1.35 (1.07-1.70)",0.0161007799909316
