"Organ","Effect (95% CI)","FDR"
"Adipose","1.20 (1.04-1.39)",0.0230539379287991
"Brain","1.19 (1.04-1.36)",0.0230539379287991
"Cardiovascular","1.31 (1.15-1.50)",0.000780750306219072
"Endocrine","1.23 (1.09-1.40)",0.00630453394044651
"Gastrointestinal","1.10 (0.95-1.27)",0.214174129492921
"Immune","1.27 (1.12-1.44)",0.00137600849384522
"Kidney And Bladder","1.23 (1.08-1.40)",0.00663220369157781
"Liver","1.20 (1.05-1.36)",0.0193266341247895
"Lung","1.13 (0.98-1.30)",0.119840667728999
"Muscle","1.11 (1.01-1.22)",0.0464766863866939
"Nerve","1.19 (1.04-1.37)",0.0230539379287991
"Ovary","1.26 (1.06-1.50)",0.0207423724500841
"Pancreas","1.12 (1.00-1.26)",0.0752950304212579
"Prostate","1.05 (0.89-1.24)",0.552349562273992
"Skin","1.12 (0.97-1.28)",0.136454794262352
