"Organ","Effect (95% CI)","FDR"
"Adipose","1.12 (0.82-1.54)",0.584902187059247
"Brain","1.38 (1.09-1.76)",0.0484596459283011
"Cardiovascular","1.39 (1.08-1.79)",0.0484596459283011
"Endocrine","1.26 (0.95-1.67)",0.233266826542646
"Gastrointestinal","1.04 (0.81-1.34)",0.795229747505723
"Immune","1.17 (0.90-1.52)",0.348091783531812
"Kidney And Bladder","1.48 (1.15-1.90)",0.0374794818934412
"Liver","1.32 (0.99-1.76)",0.174903135232789
"Lung","1.21 (0.94-1.55)",0.273099358028356
"Muscle","1.00 (0.75-1.34)",0.980037257437326
"Nerve","1.10 (0.77-1.57)",0.688944473581624
"Ovary","1.31 (0.96-1.79)",0.20949296458074
"Pancreas","0.88 (0.73-1.07)",0.348091783531812
"Prostate","1.49 (1.08-2.04)",0.0519740372500744
"Skin","1.14 (0.84-1.55)",0.551226802032328
