"Organ","Effect (95% CI)","FDR"
"Adipose","1.01 (0.90-1.14)",0.970267239473334
"Brain","0.93 (0.82-1.06)",0.548696731199733
"Cardiovascular","0.87 (0.76-0.99)",0.446494628094212
"Endocrine","1.01 (0.89-1.14)",0.970267239473334
"Gastrointestinal","0.92 (0.80-1.05)",0.548696731199733
"Immune","1.06 (0.94-1.21)",0.566211041671747
"Kidney And Bladder","1.03 (0.91-1.17)",0.870183543695166
"Liver","0.93 (0.83-1.05)",0.548696731199733
"Lung","1.00 (0.89-1.13)",0.970267239473334
"Muscle","0.90 (0.80-1.01)",0.538294030695267
"Nerve","0.96 (0.85-1.08)",0.683352234986334
"Ovary","1.12 (0.91-1.37)",0.548696731199733
"Pancreas","1.01 (0.90-1.14)",0.970267239473334
"Prostate","1.10 (0.93-1.30)",0.548696731199733
"Skin","0.94 (0.84-1.06)",0.548696731199733
